Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Overlay 9002,Scoreboard  - ver 1 CGFE Scoreboard creator,,,,,,,Table of contents,,,,,,
,,,,,,,,,,,,,complete,0.6666666666666666
Textures:,,Number,Description,,,,,,,,,,,
Overlay,,5,stoppage time background,,,,,,,,,,missing,time coordiantes (but to be done with Scoreboardeditor and then 100%)
,,21,main texture,,,,,,,,,,,
,,50,team colour 1 (the same for both teams),,,,,,,,,,,
,,53,team colour 2 (the same for both teams),,,,,,,,,,,
,,,,,,,,,,,,,,
Offsets,Offset,,Description,,,,,,,,,,,
,,,,,,,,,,,,,,
Overlay Hex 0,09F0,08-09-0A,team name colour,,,,,,,,,,,
,09F0,0C-0D-0E-0F,team name font size,,,,,,,,,,,
,0B20,08-09-0A,home score colour,,,,,,,,,,,
,0B20,0C-0D-0E-0F,home score font size,,,,,,,,,,,
,0BC0,00-01-02,score separator colour,,,,,,,,,,,
,0BC0,03-04-05-06,score separator font size,,,,,,,,,,,
,0A90,00-01-02,away score colour,,,,,,,,,,,
,0A90,03-04-05-06,away score font size,,,,,,,,,,,
,0540,00-01-02,extra time colour,,,,,,,,,,,
,0540,03-04-05-06,extra time font size,,,,,,,,,,,
,0E30,08-09-0A,Time – hundred minutes colour,,,,,,,,,,,
,0E30,0C-0D-0E-0F,Time – hundred minutes font size,,,,,,,,,,,
,0D70,08-09-0A,Time – ten minutes colour,,,,,,,,,,,
,0D70,0C-0D-0E-0F,Time – ten minutes,,,,,,,,,,,
,0D10,08-09-0A,Time – minutes colour,,,,,,,,,,,
,0D10,0C-0D-0E-0F,Time – minutes font size,,,,,,,,,,,
,0DD0,08-09-0A,Time – colon colour,,,,,,,,,,,
,0DD0,0C-0D-0E-0F,Time – colon font size,,,,,,,,,,,
,0CB0,08-09-0A,Time – ten seconds colour,,,,,,,,,,,
,0CB0,0C-0D-0E-0F,Time – ten seconds font size,,,,,,,,,,,
,0C50,08-09-0A,Time – seconds colour,,,,,,,,,,,
,0C50,0C-0D-0E-0F,Time – seconds font size,,,,,,,,,,,
,,,,,,,,,,,,,,
,10B0,,Font type,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1420,0C-0D-0E-0F,Overall postition (McClass Overlay) size width and horizontal orientation,,,,,,,,,,,
,1430,08-09-0A-0B,Overall postition (McClass Overlay) size height and vertical orientation,,,,,,,,,,,
,,0C-0D-0E-0F,Overall postition (McClass Overlay) x coordinates,,,,,,,,,,,
,1440,00-01-02-03,Overall postition (McClass Overlay) y coordinates,,,,,,,,,,,
,1D60,0C-0D-0E-0F,"home team name size width, horizontal orientation",,,,,,,,,,,
,1D70,08-09-0A-0B,"home team name size height, vertical orientation",,,,,,,,,,,
,,0C-0D-0E-0F,Home team name x coordinates,,,,,,,,,,,
,1D80,00-01-02-03,Home team name y coordinates,,,,,,,,,,,
,1DB,0C-0D-0E-0F,"Away team name size width, horizontal orientation",,,,,,,,,,,
,1DC0,08-09-0A-0B,"Away team name size height, vertical orientation",,,,,,,,,,,
,,0C-0D-0E-0F,Away team name x coordinates,,,,,,,,,,,
,1DD0,00-01-02-03,Away team name y coordinates,,,,,,,,,,,
,22B0,0E-0F,"away team colour size width, horizontal orientation",,,,,,,,,,,
,22C0,0A-0B,"away team colour size height, vertical orientation",,,,,,,,,,,
,22C0,0C-0D-0E-0F,Away team colour 1 x coordinates,,,,,,,,,,,
,22D0,00-01-02-03,Away team colour 1 y coordinates,,,,,,,,,,,
,2300,0E-0F,"home team colour size width, horizontal orientation",,,,,,,,,,,
,2310,0A-0B,"home team colour size height, vertical orientation",,,,,,,,,,,
,2310,0C-0D-0E-0F,Home team colour 1 x coordinates,,,,,,,,,,,
,2320,00-01-02-03,Home team colour 1 y coordinates,,,,,,,,,,,
